出貨/銷退日(C10),客戶編號,產品料號,淨銷售量(交易),銷售淨額(本幣/未稅)
2024/01/08,B4956,L0203001,1,900
2024/01/08,B4956,L0299002,4,800
2024/01/08,B5036,I0404038,1,350
2024/01/08,B5036,R1116,0,0
2024/01/08,B5149,K0101188,50,15000
2024/01/08,B5165,F0101030,5,3200
2024/01/08,B5168,B0401001,48,16320
2024/01/08,B5168,C0199019,12,18000
2024/01/08,B5168,D0602001,3,2940
2024/01/08,B5168,I0404011,4,1440
2024/01/08,B5176,B0401001,4,1680
2024/01/08,B5176,R1100,1,95
2024/01/08,B5191,F0101009,5,4000
2024/01/08,B5197,B0401001,12,4320
2024/01/08,B5197,R1109,0,0
2024/01/08,B5226,A0313006,16,2400
2024/01/08,B5226,D0101009,3,255
2024/01/08,B5226,D0101012,4,400
2024/01/08,B5226,E0202005,4,72
2024/01/08,B5226,G0104007,4,1600
2024/01/08,B5226,J0101009,2,630
2024/01/08,B5226,J0201001,8,1760
2024/01/08,B5226,J0499015,4,4680
2024/01/08,B5226,J0499020,6,2616
2024/01/08,B5226,J0501001,4,3284
2024/01/08,B5226,J0599005,4,1320
2024/01/08,B5227,D0101012,2,210
2024/01/08,B5227,J0499025,1,315
2024/01/08,B5227,R1100,1,95
2024/01/08,B5227,R1111,0,0
2024/01/08,B5254,D0199021,1,2840
2024/01/08,B5254,D0401009,1,820
2024/01/08,B5254,D9999010,1,2500
2024/01/08,B5254,H0101017,5,2100
2024/01/08,B5254,P9999072,15,5250
2024/01/08,B5279,K0101151,5,2150
2024/01/08,B5279,K0101152,6,6000
2024/01/08,B5320,A0101007,1,1750
2024/01/08,B5320,B0203001,3,900
2024/01/08,B5320,G0602031,1,1500
2024/01/08,B5320,J0201001,2,480
2024/01/08,B5320,J0201008,1,265
2024/01/08,B5320,K0201171,1,200
2024/01/08,B5320,R1111,0,0
2024/01/08,B5373,I0404006,2,580
2024/01/08,B5373,I0404007,2,580
2024/01/08,B5373,I0404016,1,640
2024/01/08,B5373,I0699007,1,440
2024/01/08,B5373,M0101002,2,340
2024/01/08,B5373,M0101011,1,400
2024/01/08,B5396,B0401001,12,4320
2024/01/08,B5416,J0399033,-2,-350
2024/01/08,B5416,K0101202,10,2550
2024/01/08,B5416,K0201097,0,0
2024/01/08,B5417,J0101018,1,600
2024/01/08,B5417,R1100,1,95
2024/01/08,B5423,A0101007,1,1750
2024/01/08,B5423,C0107002,1,840
2024/01/08,B5423,R1107,0,0
2024/01/08,B5466,A0102001,1,1370
2024/01/08,B5466,C0199019,1,1590
2024/01/08,B5466,D0104002,20,660
2024/01/08,B5466,D0601002,20,820
2024/01/08,B5466,I0507002,2,520
2024/01/08,B5466,K0201014,1,355
2024/01/08,B5466,P0101006,5,170
2024/01/08,B5466,R1110,0,0
2024/01/08,B5524,B0301027,2,960
2024/01/08,B5524,H0101011,2,660
2024/01/08,B5524,H0101031,1,600
2024/01/08,B5524,R1100,1,95
2024/01/08,B5538,A0101003,1,1500
2024/01/08,B5538,A0202005,10,1600
2024/01/08,B5538,B0401001,2,720
2024/01/08,B5538,M0199008,5,480
2024/01/08,B5538,M0199009,2,192
2024/01/08,B5569,A0102027,3,4200
2024/01/08,B5569,H0101017,4,1680
2024/01/08,B5569,I0101014,1,650
2024/01/08,B5569,I0299005,2,550
2024/01/08,B5569,I0503006,1,400
2024/01/08,B5569,L0102002,3,450
2024/01/08,B5569,L0102003,4,780
2024/01/08,B5678,B0203001,1,300
2024/01/08,B5678,B0401001,24,8640
2024/01/08,B5678,F0401033,2,5600
2024/01/08,B5678,H0103002,2,1460
2024/01/08,B5685,A0102027,1,1400
2024/01/08,B5685,R1116,0,0
2024/01/08,B5735,E0101010,1,250
2024/01/08,B5735,F0301010,1,370
2024/01/08,B5735,G0502002,1,990
2024/01/08,B5735,I0404007,4,1160
2024/01/08,B5735,I0699003,3,1650
2024/01/08,B5738,F0401033,1,2800
2024/01/08,B5738,I0699004,1,550
2024/01/08,B5742,B0501001,1,230
2024/01/08,B5742,E0202005,1,20
2024/01/08,B5742,H0401030,3,2250
2024/01/08,B5742,K0101044,2,700
2024/01/08,B5811,K0101178,60,26400
2024/01/08,B5830,A0313006,16,2400
2024/01/08,B5830,J0399065,2,1060
2024/01/08,B5830,J0499027,3,915
2024/01/08,B5836,A0101007,1,1750
2024/01/08,B5836,D0101010,13,1120
2024/01/08,B5864,B0401001,12,4320
2024/01/08,B5908,K0101151,5,2150
2024/01/08,B5908,K0101152,12,12000
2024/01/08,B5913,K0101162,6,3720
2024/01/08,B5944,A0103001,1,2000
2024/01/08,B5944,R1116,0,0
2024/01/08,B5946,A0199006,10,7000
2024/01/08,B5946,A0314001,35,805
2024/01/08,B5948,J0201001,36,8640
2024/01/08,B5970,A0101001,1,1530
2024/01/08,B5970,B0301010,2,640
2024/01/08,B5970,B0601004,2,420
2024/01/08,B5970,I0201012,2,480
2024/01/08,B5970,I0503006,1,400
2024/01/08,B5970,J0302001,1,665
2024/01/08,B5970,L0102002,1,150
2024/01/08,B5970,M0101008,1,455
2024/01/08,B5981,C0104013,1,571
2024/01/08,B5981,D0101009,10,850
2024/01/08,B5981,D9999002,1,130
2024/01/08,B5981,E0202005,1,20
2024/01/08,B5981,I0101009,1,520
2024/01/08,B5981,I0399006,1,160
2024/01/08,B5981,I0399008,1,160
2024/01/08,B5981,L0199008,1,1750
2024/01/08,B5981,L0201001,1,175
2024/01/08,B6016,B0199009,30,25800
2024/01/08,B6016,D0199011,1,3000
2024/01/08,B6036,I0599037,1,145
2024/01/08,B6036,R1110,0,0
2024/01/08,C1148,D0102009,1,1800
2024/01/08,C1148,R1100,1,95
2024/01/08,C1185,G0601007,6,9000
2024/01/08,C1215,M0101003,24,3840
2024/01/08,C1215,R1109,0,0
2024/01/08,C1319,I0102005,3,3600
2024/01/08,C1430,A0101001,1,1530
2024/01/08,C1430,B0601002,4,840
2024/01/08,C1430,D9999002,2,260
2024/01/08,C1430,H0102004,1,240
2024/01/08,C1430,I0201002,1,250
2024/01/08,C1436,D0401009,24,17280
2024/01/08,C1436,D9999023,12,7800
2024/01/08,C1465,I0503002,16,5600
2024/01/08,C1465,M0401001,20,13000
2024/01/08,C1524,A0101003,12,16800
2024/01/08,C1524,B0904001,12,4800
2024/01/08,C1533,A0102001,30,37500
2024/01/08,C1566,A0101003,5,6850
2024/01/08,C1570,B0401001,1,360
2024/01/08,C1570,C0199027,1,686
2024/01/08,C1570,D0101010,10,900
2024/01/08,C1570,G0601007,1,1600
2024/01/08,C1570,H0101017,5,2100
2024/01/08,C1570,H0401025,1,360
2024/01/08,C1570,I0404038,1,350
2024/01/08,C1570,M0199010,1,79
2024/01/08,C1664,A0102001,2,2640
2024/01/08,C1664,A0102003,2,3120
2024/01/08,C1664,J0201003,2,270
2024/01/08,C1664,J0399028,1,615
2024/01/08,C1664,J0399049,1,770
2024/01/08,C1664,M0101009,2,910
2024/01/08,C1757,A0101001,2,3060
2024/01/08,C1757,A0101007,1,1750
2024/01/08,C1757,D0101009,10,850
2024/01/08,C1757,D0102004,2,360
2024/01/08,C1757,R1108,0,0
2024/01/08,C1767,G0601007,10,15238
2024/01/08,C1846,G0602068,1,700
2024/01/08,C1848,C0107002,-3,-2520
2024/01/08,C1949,B0401001,12,4320
2024/01/08,C1949,I0404007,4,1160
2024/01/08,C1949,J0399033,1,175
2024/01/08,C1949,R1108,0,0
2024/01/08,C1978,A0102005,2,2900
2024/01/08,C1978,B0401001,96,32915
2024/01/08,C1978,C0199019,2,3180
2024/01/08,C1978,D0206001,5,6250
2024/01/08,C1978,I0399010,6,2700
2024/01/08,C2040,A0102001,3,4110
2024/01/08,C2040,I0101008,1,600
2024/01/08,C2087,A0101003,2,3000
2024/01/08,C2087,J0201001,1,240
2024/01/08,C2102,B0199009,10,9900
2024/01/08,C2102,N9904004,20,800
2024/01/08,C2127,A0301012,12,1500
2024/01/08,C2127,H0401025,20,6100
2024/01/08,C2127,H0401026,5,1525
2024/01/08,C2127,H0401029,15,4725
2024/01/08,C2127,J0302001,30,16350
2024/01/08,C2219,A0102027,4,5600
2024/01/08,C2236,D0199020,5,935
2024/01/08,C2236,I0201005,6,12000
2024/01/08,C2236,I0507004,90,17280
2024/01/08,C2321,A0102001,6,7200
2024/01/08,C2321,A0102009,20,24960
2024/01/08,C2321,M0401001,20,11200
2024/01/08,C2343,C0199017,6,10680
2024/01/08,C2371,A0105008,1,1950
2024/01/08,C2371,A0105010,2,3700
2024/01/08,C2371,A0105012,3,4950
2024/01/08,C2371,B0301010,1,320
2024/01/08,C2371,C0104017,5,3238
2024/01/08,C2371,C0107002,1,840
2024/01/08,C2371,D0103009,20,760
2024/01/08,C2371,H0101017,1,420
2024/01/08,C2371,I0399007,2,900
2024/01/08,C2371,I0503006,1,400
2024/01/08,C2371,J0201001,2,480
2024/01/08,C2371,K0201014,1,305
2024/01/08,C2371,M0101003,24,4152
2024/01/08,C2371,P0101004,1,33
2024/01/08,C2386,K0101151,5,2150
2024/01/08,C2386,K0101152,12,12000
2024/01/08,C2553,E0202005,10,200
2024/01/08,C2632,G0602020,5,3500
2024/01/08,C2632,I0399007,2,900
2024/01/08,C2693,E0202005,20,360
2024/01/08,C2694,M0101002,4,680
2024/01/08,C2694,N0701003,1,2250
2024/01/08,C2708,A0101001,1,1530
2024/01/08,C2708,B0203001,1,300
2024/01/08,C2708,H0102004,1,240
2024/01/08,C2708,I0299005,1,275
2024/01/08,C2708,I0507013,2,600
2024/01/08,C2708,J0201003,2,270
2024/01/08,C2729,E0202005,20,400
2024/01/08,C2908,A0101007,2,3500
2024/01/08,C2913,A0101001,1,1530
2024/01/08,C2913,G0602042,1,1300
2024/01/08,C2913,L0102001,1,130
2024/01/08,C2933,A0101007,4,7000
2024/01/08,C2933,G0602004,1,1030
2024/01/08,C2938,A0201004,1,320
2024/01/08,C2938,B0199014,7,2030
2024/01/08,C2938,C0104017,1,648
2024/01/08,C2938,C0107001,1,730
2024/01/08,C2938,C0107004,1,560
2024/01/08,C2938,E0101013,11,1980
2024/01/08,C2938,H0305001,6,1800
2024/01/08,C2938,H0401025,2,720
2024/01/08,C2938,J0101001,2,860
2024/01/08,C2938,J0101018,2,1160
2024/01/08,C2938,J0501001,1,960
2024/01/08,C2938,K0101042,1,350
2024/01/08,C2938,R1111,0,0
2024/01/08,C2942,B0401001,12,4320
2024/01/08,C2942,C0104029,6,1740
2024/01/08,C2942,I0101014,2,1300
2024/01/08,C2942,I0101015,1,620
2024/01/08,C2942,I0101025,1,680
2024/01/08,C2942,J0499036,6,660
2024/01/08,C2976,A0101001,2,3060
2024/01/08,C2976,A0102003,1,1610
2024/01/08,C2976,H0102005,1,4150
2024/01/08,C2976,H0109006,2,9000
2024/01/08,C2976,L0199009,1,1800
2024/01/08,C2976,P0201008,5,140
2024/01/08,C3009,A0102001,2,2740
2024/01/08,C3009,B0301001,1,720
2024/01/08,C3009,B0601002,7,1470
2024/01/08,C3009,H0101017,8,3360
2024/01/08,C3009,R1110,0,0
2024/01/08,C3032,B0401001,12,4320
2024/01/08,C3032,I0404007,2,580
2024/01/08,C3043,A0101007,1,1750
2024/01/08,C3043,B0401001,12,4320
2024/01/08,C3043,D0699002,12,2520
2024/01/08,C3043,R1109,0,0
2024/01/08,C3076,A0202011,40,3600
2024/01/08,C3127,A0101007,2,3500
2024/01/08,C3134,K0101162,6,3720
2024/01/08,C3177,H0101045,-1,-650
2024/01/08,D1102,A0101001,1,1530
2024/01/08,D1106,A0101003,2,3000
2024/01/08,D1106,C0104017,8,5181
2024/01/08,D1106,I0101011,6,3780
2024/01/08,D1106,I0203005,12,16800
2024/01/08,D1145,A0102005,7,9450
2024/01/08,D1145,A0301012,12,1800
2024/01/08,D1145,D0101010,40,3600
2024/01/08,D1167,H0101008,1,3250
2024/01/08,D1167,H0101041,1,3600
2024/01/08,D1195,L0302005,100,220000
2024/01/08,D1244,A0102001,4,5480
2024/01/08,D1299,H0104002,1,770
2024/01/08,D1299,R1107,0,0
2024/01/08,D1330,A0299008,80,28000
2024/01/08,D1360,B0199014,20,5300
2024/01/08,D1442,I0404046,1,450
2024/01/08,D1495,A0101003,1,1500
2024/01/08,D1495,A0101009,1,2050
2024/01/08,D1495,A0102001,1,1370
2024/01/08,D1495,A0102009,1,1400
2024/01/08,D1495,A0102013,1,1350
2024/01/08,D1495,A0102027,1,1400
2024/01/08,D1495,A0311001,2,800
2024/01/08,D1495,G0601007,1,1600
2024/01/08,D1495,H0301029,3,1950
2024/01/08,D1495,H0301031,1,660
2024/01/08,D1563,A0301012,1,150
2024/01/08,D1563,C0104013,1,571
2024/01/08,D1563,D0401010,3,2580
2024/01/08,D1799,A0101001,1,1530
2024/01/08,D1799,A0102003,1,1610
2024/01/08,D1801,A0101001,50,75000
2024/01/08,D1801,L0102001,80,10400
2024/01/08,D1863,B0904001,12,4200
2024/01/08,D1863,C0107002,1,840
2024/01/08,D1863,D0199001,2,640
2024/01/08,D1863,D0699001,2,574
2024/01/08,D1863,E0101011,1,900
2024/01/08,D1863,E0202005,20,360
2024/01/08,D1863,I0201006,2,320
2024/01/08,D1863,I0201012,2,480
2024/01/08,D1879,A0101001,2,3060
2024/01/08,D1879,B1002001,3,387
2024/01/08,D1879,G0502002,2,1980
2024/01/08,D1879,L0203001,1,900
2024/01/08,D1880,I0699004,1,550
2024/01/08,D1880,R1116,0,0
2024/01/08,D1887,B1002001,6,774
2024/01/08,D1960,J0501002,12,5280
2024/01/08,D1969,H0401022,6,4500
2024/01/08,D1978,M0101003,24,4152
2024/01/08,D1978,R1109,0,0
2024/01/08,D1993,G0601018,1,5200
2024/01/08,D1997,A0102001,1,1370
2024/01/08,D1997,A0102009,2,2800
2024/01/08,D2062,D0102009,2,3600
2024/01/08,D2062,G0601007,2,3200
2024/01/08,D2095,A0101003,2,3000
2024/01/08,D2095,B0104009,36,7920
2024/01/08,D2095,B0301026,1,550
2024/01/08,D2095,C0104028,1,1450
2024/01/08,D2095,C0199010,4,880
2024/01/08,D2095,D0101009,4,360
2024/01/08,D2101,B0401001,12,4320
2024/01/08,D2101,C0199027,3,2058
2024/01/08,D2101,D0199024,2,520
2024/01/08,D2101,I0507004,2,384
2024/01/08,D2110,D0101011,100,9500
2024/01/08,E1137,J0601005,2,286
2024/01/08,E1139,D0601002,400,16400
2024/01/08,E1245,B0401001,12,4114
2024/01/08,E1245,C0199019,1,1590
2024/01/08,E1245,D0103012,2,1850
2024/01/08,E1245,D0204001,-1,-140
2024/01/08,E1245,F0102003,1,481
2024/01/08,E1245,F0301010,2,705
2024/01/08,E1245,I0199006,2,1100
2024/01/08,E1245,I0404031,1,190
2024/01/08,E1245,J0299005,1,520
2024/01/08,E1245,M0101002,5,850
2024/01/08,E1245,N0101002,3,75
2024/01/08,E1245,N0101003,4,100
2024/01/08,E1245,N0101004,3,75
2024/01/08,E1245,N0101007,3,75
2024/01/08,E1245,N0101008,2,50
2024/01/08,E1245,N0501001,5,875
2024/01/08,E1245,N0501002,5,875
2024/01/08,E1245,N0501003,5,875
2024/01/08,E1245,N0501004,1,175
2024/01/08,E1245,N0501005,7,1225
2024/01/08,E1245,N0501006,5,875
2024/01/08,E1245,N0501007,7,1225
2024/01/08,E1251,D0602001,1,950
2024/01/08,E1251,R1116,0,0
2024/01/08,E1279,A0102001,1,1370
2024/01/08,E1279,D0601002,200,7600
2024/01/08,E1400,D0102009,40,66000
2024/01/08,E1400,L0302001,12,42000
2024/01/08,E1400,L0302003,0,-98068
2024/01/08,E1400,L0302006,1,2125
2024/01/08,E1530,I0404016,6,3840
2024/01/08,E1613,A0101003,5,6550
2024/01/08,E1613,B0401001,1,360
2024/01/08,E1613,D0603003,1,2500
2024/01/08,E1613,I0404007,1,290
2024/01/08,E1613,I0503006,2,800
2024/01/08,E1613,I0507002,2,520
2024/01/08,E1705,A0102005,1,1450
2024/01/08,E1705,D0102009,1,1800
2024/01/08,E1705,D0601002,20,820
2024/01/08,E1746,B0401001,12,4320
2024/01/08,E1746,R1109,0,0
2024/01/08,E1765,F0401033,1,2800
2024/01/08,E1765,R1116,0,0
2024/01/08,E1819,A0102013,1,1350
2024/01/08,E1819,B0401001,12,4200
2024/01/08,E1819,D9999002,3,390
2024/01/08,E1819,H0101011,1,330
2024/01/08,E1819,I0201006,3,480
2024/01/08,E1819,I0404007,2,580
2024/01/08,E1819,I0404016,2,1280
2024/01/08,E1819,I0404031,3,570
2024/01/08,E1819,K0301003,1,1040
2024/01/08,E1851,D0602001,1,950
2024/01/08,E1853,I0299037,10,5500
2024/01/08,E1857,B0401001,780,218400
2024/01/08,E1857,G0601018,13,60840
2024/01/08,E1930,C0104013,1,571
2024/01/08,E1930,J0109023,2,571
2024/01/08,E1930,R1116,0,0
2024/01/08,E1933,H0401018,2,1000
2024/01/08,E1933,J0101009,1,335
2024/01/08,E1933,R1116,0,0
2024/01/08,E1957,C0107001,12,8520
2024/01/08,F1374,A0107017,4,2743
2024/01/08,F1374,A0108007,10,6143
2024/01/08,F1374,H0201007,2,257
2024/01/08,F1374,H0301004,2,220
2024/01/08,F1383,A0301001,2,1040
2024/01/08,F1383,A0302005,1,660
2024/01/08,F1383,R1114,0,0
2024/01/08,F1388,M0101003,2,346
2024/01/08,F1388,R1114,0,0
2024/01/08,F1395,A0102001,1,1312
2024/01/08,F1395,A0107001,15,10067
2024/01/08,F1395,D0103014,2,1780
2024/01/08,F1395,D0601002,20,820
2024/01/08,F1395,L0102001,20,2190
2024/01/08,F1395,L0103001,5,233
2024/01/08,F1395,P0102008,2,390
2024/01/08,F1396,A0102005,1,1390
2024/01/08,F1396,A0108007,3,1935
2024/01/08,F1396,C0102001,1,950
2024/01/08,F1396,D0102009,1,1800
2024/01/08,F1396,D0103009,40,1520
2024/01/08,F1402,A0107003,5,3238
2024/01/08,F1402,A0301001,1,520
2024/01/08,F1418,A0102001,1,1312
2024/01/08,F1418,A0102009,2,2681
2024/01/08,F1418,A0107001,3,1770
2024/01/08,F1418,I0504003,1,300
2024/01/08,F1418,L0103001,10,467
2024/01/08,F1418,L0201001,1,167
2024/01/08,F1436,C0102001,1,950
2024/01/08,F1436,D0103009,2,76
2024/01/08,F1436,D0103014,2,1780
2024/01/08,F1436,E0102009,1,15
2024/01/08,F1436,I0201006,2,320
2024/01/08,F1442,A0108007,8,4914
2024/01/08,F1442,L0103001,7,343
2024/01/08,F1530,I0504003,1,300
2024/01/08,F1530,I0599002,1,372
2024/01/08,F1530,R1114,0,0
2024/01/08,F1627,A0102001,1,1570
2024/01/08,F1627,A0107001,1,676
2024/01/08,F1627,A0108032,1,705
2024/01/08,F1627,A0302005,2,1258
2024/01/08,F1627,B0199014,1,290
2024/01/08,F1627,B0202001,2,977
2024/01/08,F1627,B0203001,1,286
2024/01/08,F1627,B0301010,2,610
2024/01/08,F1627,D0501004,2,282
2024/01/08,F1627,H0101007,1,333
2024/01/08,F1627,H0101024,7,1934
2024/01/08,F1627,H0102002,2,552
2024/01/08,F1627,H0102004,5,1143
2024/01/08,F1627,H0103002,1,695
2024/01/08,F1627,H0109002,1,429
2024/01/08,F1627,H0201007,10,1286
2024/01/08,F1627,H0301029,1,650
2024/01/08,F1627,H0303002,2,109
2024/01/08,F1627,H0399023,1,95
2024/01/08,F1627,H0399040,1,129
2024/01/08,F1627,H0399045,1,210
2024/01/08,F1627,I0201006,4,640
2024/01/08,F1627,I0299005,4,1048
2024/01/08,F1627,J0201001,12,2640
2024/01/08,F1749,A0102015,2,3800
2024/01/08,F1749,A0105006,1,1210
2024/01/08,F1749,B0601002,2,420
2024/01/08,F1749,C0199027,1,686
2024/01/08,F1749,D0103004,10,190
2024/01/08,F1749,D0601002,5,205
2024/01/08,G1942,K0101151,5,2150
2024/01/08,G1942,K0101152,12,12000
2024/01/08,L1152,I0507002,2,520
2024/01/08,L1152,I0599036,7,840
2024/01/08,L1156,A0101005,1,1950
2024/01/08,L1156,A0101009,1,2050
2024/01/08,L1156,A0102003,1,1610
2024/01/08,L1156,G0601018,2,3640
2024/01/08,L1161,I0199006,2,1160
2024/01/08,L1161,I0404007,10,2900
2024/01/08,L1161,I0507002,4,1040
2024/01/08,L1161,L0302006,1,2350
2024/01/08,L1161,M0401005,1,2500
2024/01/08,L1163,A0101082,1,4250
2024/01/08,L1227,M0101002,2,340
2024/01/08,L1243,A0102001,3,4110
2024/01/08,L1243,A0102009,3,4200
2024/01/08,L1243,H0102005,2,8300
2024/01/08,L1243,M0101002,24,3792
2024/01/08,L1268,A0101041,3,5550
2024/01/08,L1334,A0101001,1,1530
2024/01/08,L1485,A0101001,2,3060
2024/01/08,L1485,A0101009,2,4100
2024/01/08,L1485,G0601018,4,20000
2024/01/08,L1485,I0404036,3,780
2024/01/08,L1521,A0101005,1,1857
2024/01/08,L1521,F0301010,1,370
2024/01/08,L1521,J0699009,1,880
2024/01/08,L1552,L0302005,1,2857
2024/01/08,L1562,A0105004,16,2320
2024/01/08,L1562,B0401001,2,720
2024/01/08,L1562,D0603003,1,2500
2024/01/08,L1562,D9999005,2,1680
2024/01/08,L1562,I0404007,3,870
2024/01/08,L1562,I0507002,5,1300
2024/01/08,L1562,L0302006,1,2350
2024/01/08,L1562,M0401005,1,2500
2024/01/08,L1564,K0101151,5,2150
2024/01/08,L1564,K0101152,6,6000
2024/01/08,L1590,B0401001,12,4320
2024/01/08,L1590,C0107002,1,840
2024/01/08,L1590,K0101202,15,3300
2024/01/08,L1600,I0503002,6,2100
2024/01/08,L1600,R1104,1,190
2024/01/08,L1627,I0599023,2,7600
2024/01/08,L1636,F0101005,5,3000
2024/01/08,L1636,F0201018,1,1800
2024/01/08,L1659,I0699011,2,4200
2024/01/08,L1678,G0502022,4,460
2024/01/08,L1678,G0601022,1,2200
2024/01/08,L1678,H0101042,6,1920
2024/01/08,L1678,H0301002,4,660
2024/01/08,L1678,I0201006,1,160
2024/01/08,L1678,I0404005,1,380
2024/01/08,L1678,I0404011,1,380
2024/01/08,L1678,I0404016,1,640
2024/01/08,L1678,I0404045,1,260
2024/01/08,L1678,I0404054,1,270
2024/01/08,L1678,K0101138,1,720
2024/01/08,L1690,P0109008,1,940
2024/01/08,L1690,P0401001,20,35000
2024/01/08,M1126,A0101088,1,3200
2024/01/08,M1126,E0202005,40,720
2024/01/08,M1126,I0503002,8,2667
2024/01/08,M1126,I0504003,3,900
2024/01/08,M1126,I0699011,12,21600
2024/01/08,M1146,B0401001,12,4320
2024/01/08,M1156,B0401001,240,76800
2024/01/08,M1156,H0101031,1,550
2024/01/08,M1156,L0201001,20,3048
2024/01/08,M1163,I0599036,18,2160
2024/01/08,M1163,L0302005,1,2900
2024/01/08,M1163,R1109,0,0
2024/01/08,M1170,D0102009,20,34200
2024/01/08,M1170,D0199001,2,640
2024/01/08,M1170,H0301029,2,1300
2024/01/08,M1170,H0301030,1,630
2024/01/08,M1202,C0199027,1,686
2024/01/08,M1202,D0199027,10,1500
2024/01/08,M1203,A0105003,1,1350
2024/01/08,M1203,I0404007,7,2030
2024/01/08,M1203,I0507002,2,520
2024/01/08,M1203,L0103001,30,1500
2024/01/08,M1203,L0302006,1,2350
2024/01/08,M1310,J0101001,8,2920
2024/01/08,M1317,B0199014,40,10600
2024/01/08,M1317,G0101015,6,3300
2024/01/08,M1317,I0102017,2,2800
2024/01/08,M1366,B0401001,12,4320
2024/01/08,M1366,R1109,0,0
2024/01/08,M1487,J0699009,1,880
2024/01/08,M1487,R1100,1,95
2024/01/08,M1529,B0104002,1,6800
2024/01/08,M1529,B0202001,36,14040
2024/01/08,M1529,B0301071,12,3360
2024/01/08,M1529,B0901004,2,1010
2024/01/08,M1529,D0101009,1,90
2024/01/08,M1529,D0201003,4,2500
2024/01/08,M1529,D9999002,3,390
2024/01/08,M1529,E0202005,20,360
2024/01/08,M1529,I0203005,2,2740
2024/01/08,M1529,K0301003,4,4160
2024/01/08,M1529,L0102001,20,2400
2024/01/08,M1551,J0201016,0,0
2024/01/08,M1554,B0301011,5,1600
2024/01/08,M1554,H0101035,2,2100
2024/01/08,M1554,M0401001,4,2600
2024/01/08,M1639,G0601007,1,1600
2024/01/08,M1639,G0602018,1,1250
2024/01/08,M1639,G0602019,1,700
2024/01/08,M1639,G0602020,1,700
2024/01/08,M1639,G0602042,1,1300
2024/01/08,M1639,G0602067,2,1400
2024/01/08,M1641,C0107002,6,4800
2024/01/08,M1681,C0199024,64,8640
2024/01/08,M1684,B0299004,20,7200
2024/01/08,M1684,I0404010,20,2400
2024/01/08,M1714,J0499024,1,1980
2024/01/08,M1714,J0499058,1,2200
2024/01/08,M1714,K0201019,5,2000
2024/01/08,M1764,B0203001,2,600
2024/01/08,M1764,B0401001,12,4320
2024/01/08,M1766,C0199019,3,4770
2024/01/08,M1766,J0399035,2,190
2024/01/08,M1811,A0102015,5,9500
2024/01/08,M1811,A0102019,5,6850
2024/01/08,M1856,A0102001,1,1370
2024/01/08,M1856,A0102005,1,1450
2024/01/08,M1856,A0102009,1,1400
2024/01/08,M1856,G0101004,3,1950
2024/01/08,M1856,I0399008,2,320
2024/01/08,M1856,I0399010,3,1350
2024/01/08,M1856,L0201001,1,175
2024/01/08,M1856,L0201005,1,670
2024/01/08,M1870,I0101005,1,1800
2024/01/08,M1870,I0102019,1,1900
2024/01/08,M1870,I0507002,10,2600
2024/01/08,M1870,I0507014,1,250
2024/01/08,M1870,R1110,0,0
2024/01/08,N1150,A0101001,3,4590
2024/01/08,N1150,A0311001,1,400
2024/01/08,N1150,B0301011,1,320
2024/01/08,N1150,B0301026,1,585
2024/01/08,N1150,B0904001,1,400
2024/01/08,N1150,C0107002,1,840
2024/01/08,N1150,I0199006,1,600
2024/01/08,N1150,I0599002,2,744
2024/01/08,N1150,M0201002,1,320
2024/01/08,N1150,R1111,0,0
2024/01/08,N1207,C0199019,4,6200
2024/01/08,N1220,A0101001,1,1530
2024/01/08,N1220,B0401001,12,4320
2024/01/08,N1220,I0404006,0,0
2024/01/08,N1220,I0404011,0,0
2024/01/08,N1220,I0404014,1,350
2024/01/08,N1220,I0404031,1,190
2024/01/08,N1220,I0404035,1,280
2024/01/08,N1220,I0404045,0,0
2024/01/08,N1220,I0404053,1,440
2024/01/08,N1220,I0404054,0,0
2024/01/08,N1220,I0599018,3,1110
2024/01/08,N1220,R1111,0,0
2024/01/08,O1182,A0301012,2,300
2024/01/08,O1182,D0199001,1,320
2024/01/08,O1182,D0199019,1,97
2024/01/08,O1182,G0502002,2,1980
2024/01/08,O1182,H0399001,3,315
2024/01/08,P1200,A0101001,4,6120
2024/01/08,P1201,A0101005,1,1950
2024/01/08,P1201,R1100,1,95
2024/01/08,P1208,B0199009,5,4950
2024/01/08,P1214,A0202011,4,440
2024/01/08,P1214,C0104028,1,1450
2024/01/08,P1214,C0199010,1,220
2024/01/08,P1214,D0101009,4,360
2024/01/08,P1214,D0101010,4,360
2024/01/08,P1214,E0101007,2,340
2024/01/08,P1214,H0401023,1,750
2024/01/08,P1214,J0101003,2,2860
2024/01/08,P1214,J0101020,1,560
2024/01/08,P1217,I0503006,3,1200
2024/01/08,P1217,R1104,1,190
2024/01/08,Q1141,H0101024,3,870
2024/01/08,Q1141,H0108002,3,4500
2024/01/08,Q1141,H0109002,2,900
2024/01/08,Q1153,A0101005,1,1950
2024/01/08,Q1153,A0101007,2,3500
2024/01/08,T1305,G0502002,1,990
2024/01/08,T1305,R1111,0,0
2024/01/09,A1173,A0101007,3,5250
2024/01/09,A1173,D9999005,1,840
2024/01/09,A1173,I0101007,2,9600
2024/01/09,A1173,I0404008,3,1080
2024/01/09,A1174,B0401001,12,4320
2024/01/09,A1174,G0601022,1,2200
2024/01/09,A1174,G0602017,1,1400
2024/01/09,A1189,A0101001,1,1530
