客戶代號 | Customer Code,客戶簡稱 | Customer Short Name,統一編號 | Tax ID | gst_number,業務員 | Salesperson,業務助理名稱 | Sales Assistant Name,客戶(集團)分級 | Customer Grade,通路別 | Channel Type,型態別 | Business Type,地區別 | Geographical distinction,送貨地址 | Shipping Address,TEL_NO(一) | mobile,TEL_NO(二) | company_phone,交易條件 | Payment Terms,最近交易 | last_transaction_at,歇業日期 | Business Closure Date,指定庫別名稱 | designated_warehouse_name
B5215,家福-重慶,22662550,張皓茹,林吟姿,S級客戶,通路與零售商,量販店,台北市大同區,台北市大同區重慶北路二段171號,02-25537374*623,,月結60天,20250502,,
B5216,家福-三民,22662550,張皓茹,林吟姿,S級客戶,通路與零售商,量販店,台北市松山區,台北市松山區三民路160號,02-27670702,,月結60天,20250529,,
B5217,家福-桂林,22662550,張皓茹,林吟姿,S級客戶,通路與零售商,量販店,台北市萬華區,台北市萬華區桂林路1號,02-23889887,,月結60天,20250529,,
B5218,慕日森林,90551594,苗實,張瑋玲,C級客戶,飲品咖啡店,咖啡店,台北市信義區,台北市信義區永吉路278巷57弄5號-收貨:13:00-20:00,0975-331858,,貨到收款,20260309,,
B5219,觔斗雲聯網科技股份有限公司,52621439,苗實,,C級客戶,業外公司,一般公司行號,台北市大安區,臺北市大安區安和路1段27號17樓,02-27775650#116,,貨到收款,,,
B5220,家福-南港二,22662550,張皓茹,,S級客戶,通路與零售商,量販店,台北市南港區,台北市南港區南港路二段146號B1,02-26530598,,月結60天,,,
B5221,孜孜手作,,苗實,,C級客戶,烘焙業,個人工作室,台北市士林區,台北市士林區福港街105號2樓-收貨:10:00-18:00,0935-780402,,貨到收款,20220124,,
B5222,AZURA,90881342,苗實,,F級客戶,餐廳,西式餐廳,台北市松山區,台北市松山區富錦街405號-收貨:11:00-18:00,0937-988751,,貨到收款,20240819,,
B5223,山崎麵包-BR4(停用),22522307,李丞凱,,S級客戶,烘焙業,西式麵包店,台北市大安區,10654台北市大安區忠孝東路三段300號(SOGO B2),02-87726460,02-87724669,貨到收款,,,
B5224,Meat up,,苗實,,C級客戶,餐廳,西式餐廳,台北市萬華區,台北市萬華區武昌街二段37號6樓-收貨:11:00-14:00,0908-198398,,貨到收款,20220311,,
B5225,古流拉麵,,苗實,,C級客戶,日式餐飲,拉麵店,台北市大同區,台北市大同區環河北路一段113號(週一二休)-收貨:11:00-20:00,0955-379319,02-25556011,貨到收款,20220222,,
B5226,Katsu鑫-中山店,91015185,蕭育豐,林宛瑜,A級客戶,日式餐飲,豬排店,台北市大同區,台北市大同區南京西路64巷16之3號-收貨:09:00-11:00；14:00-17:00,02-25598810,0911-350601,月結30天,20260323,,
B5227,栗栗專門店,90255284,苗實,林宛瑜,C級客戶,烘焙業,西式甜點店,台北市萬華區,台北市萬華區漢中街21號1Ｆ-營業:12:00-21:00*收貨: 13:30後(可放櫃台),0970-998699,,貨到收款,20250710,,
B5228,生活在他方-城南店,38557999,潘彥甫,林吟姿,C級客戶,飲品咖啡店,咖啡店,台北市中正區,100055台北市中正區重慶南路三段5號1F**週一休-收貨: 09:30-22:00,0977-300564,0916-978-357洪's,月結30天,20250218,,
B5229,生活在他方-貓空店,38557999,潘彥甫,林宛瑜,C級客戶,飲品咖啡店,咖啡店,台北市文山區,台北市文山區指南里指南路三段40巷8-5號(週一二休)-收貨:11:00-22:00,0977-300564,0916-978-357洪's,月結30天,20260311,,
B5230,香港商世基顧問有限公司,70808674,苗實,,C級客戶,業外公司,一般公司行號,台北市信義區,台北市信義區信義路五段5號7D-07室(六日休),02-87898939,,貨到收款,20220331,,
B5231,山海 What’s Life,,苗實,,C級客戶,飲品咖啡店,咖啡店,台北市中山區,台北市中山區松江路431巷26-1號-收貨:13:00-21:00(週二店休),0987-527875盧'r,,貨到收款,20220210,,
B5232,(停用)樂子-南港店,90633596,蕭育豐,,B級客戶,餐廳,西式餐廳,台北市南港區,台北市南港區經貿二路166號A棟2F(營業:平日上午10點/假日上午8點),02-2788-3330,02-82271280#715杜R帳,月結30天,20230725,,
B5233,豐圓烘焙,,苗實,,C級客戶,烘焙業,西式麵包店,台北市中山區,臺北市中山區中山北路１段35號1樓-收貨:08:00-20:00,0933-000903,02-25636663,貨到收款,,,
B5234,宇宙小艇-大安,90423851,苗實,,C級客戶,烘焙業,西式甜點店,台北市大安區,台北市大安區建國南路二段39巷5號1樓-營業12-19,02-23659981#54,0933-859552,月結30天,20220323,,
B5235,通庵熟成咖喱-大安,82883563,蕭育豐,張瑋玲,PF級客戶,日式餐飲,咖哩飯店,台北市大安區,10678臺北市大安區通安街115號,02-27555123,,月結30天,20260305,,
B5236,通庵熟成咖哩-中山,91110723,蕭育豐,張瑋玲,PF級客戶,日式餐飲,咖哩飯店,台北市中山區,台北市中山區中山北路二段77巷3號,02-2755-5123,,月結30天,20260316,,
B5237,本物股份有限公司-有統編,52542081,苗實,,C級客戶,烘焙業,西式甜點店,台北市中正區,台北市中正區汀州路三段43號1樓(週六日、國定休)-收貨10:00~17:00,02-23675559,926158538,貨到收款,,,
B5238,(停用)良本崎麵包(金愛),53748408,陳柏皓,,PF級客戶,烘焙業,西式麵包店,台北市士林區,台北市士林區前港街30號-收貨:09:30-18:00,02-28833583,,貨到收款,20220214,,
B5239,浪漫軒,90424388,陳柏皓,,PF級客戶,日式餐飲,和食餐廳,台北市大安區,台北市大安區四維路52巷6號-收貨:11:30-14:00*17:30-20:00(六日店休),02-27790700,0938-036923徐先生,貨到收款,20240517,,
B5240,419烘培,88215940,陳柏皓,朱佩珊,A級客戶,烘焙業,西式麵包店,台北市大安區,台北市大安區仁愛路四段48巷23號-收貨:10:00-18:00(無店休),0967-178510,02-27553011 (店鋪),月結30天,20260316,,
B5241,CHICHI Artisan Boula,88208764,苗實,朱佩珊,C級客戶,烘焙業,西式麵包店,台北市大安區,台北市大安區安和路二段129號-週一店休,0905-852051,Chichi's chef,貨到收款,20251212,,
B5242,純禾商行,88217594,苗實,張瑋玲,C級客戶,通路與零售商,雜貨商,台北市松山區,台北市松山區光復北路120巷28號1樓-收貨 :10:00-21:00*(週四店休),0960-979970,,貨到收款,20260317,,
B5243,(停用)甜心嚐,45120389,苗實,,C級客戶,烘焙業,西式甜點店,台北市內湖區,台北市內湖區內湖路二段209號(週一、二休)-收貨: 13:00~18:30,0935-121613,02-27941589,貨到收款,20230413,,
B5244,良本崎麵包(竹山林),90668052,陳柏皓,朱佩珊,PF級客戶,烘焙業,西式麵包店,台北市士林區,台北市士林區劍潭路12號,02-28839458,,月結30天,20260316,,
B5245,達文西咖啡溫州店,53325745,陳柏皓,朱佩珊,PF級客戶,飲品咖啡店,咖啡店,台北市大安區,台北市大安區溫州街58巷2號-收貨:10:00-19:00,02-23680582,,貨到收款,20251215,,
B5246,烹然,90452601,苗實,林宛瑜,C級客戶,烘焙業,個人工作室,台北市中山區,台北市中山區林森北路119巷22號四樓之一*收貨:12:00-17:00(週一店休),0953-161677,,貨到收款,20250319,,
B5247,NSFW Pizza&Coffee 台虎,42368675,苗實,張瑋玲,C級客戶,餐廳,披薩店,台北市信義區,台北市信義區忠孝東路五段68號1樓(NSFW)-收貨:08:00-20:00*週日店休,02-27220590,0912-492573陳先生,貨到收款,20250902,,
B5248,Nobuo,91035788,鄭捷,林吟姿,PF級客戶,餐廳,西式餐廳,台北市中正區,台北市中正區泰安街8號-收貨:12點前*15:00後-17:00*週一週二公休,0931-069032,,月結30天,20260318,,
B5249,米朗琪,90552003,苗實,林宛瑜,C級客戶,烘焙業,西式甜點店,台北市大同區,10356臺北市北市大同區太原路115巷23號1樓-(收貨時間0700-1400),02-25115688#118,0915-251826,月結30天,20250121,,
B5250,河流咖啡,88170726,苗實,,C級客戶,飲品咖啡店,咖啡店,台北市內湖區,台北市內湖區內湖路二段239號-收貨:10:00-18:00,02-27940239,,貨到收款,,,
B5251,花果坊商行,42999928,苗實,朱佩珊,C級客戶,通路與零售商,雜貨商,台北市大安區,台北市大安區市民大道三段288號1樓-收貨:12:00~18:00,0984-252904,912-514347帳 孔'r,月結10天,20250114,20250228,
B5252,咖央咖啡-大安(停用),83244853,苗實,朱佩珊,C級客戶,飲品咖啡店,咖啡店,台北市大安區,台北市大安區大安路一段51巷2號2樓-收貨:10-18*週一二休,0966-632838,02-27918611(公司),月結30天,20250611,20250611,
B5253,Gonna-京站,55734837,鄭捷,,P級客戶,餐廳,西式餐廳,台北市大同區,台北市大同區承德路一段1號-營業10:00-17:00,02-25587968店,0919-130394,月結30天,,,
B5254,NORM蒔二,83264013,陳柏皓,張瑋玲,A級客戶,烘焙業,西式甜點店,台北市松山區,台北市松山區南京東路四段53巷10弄20號(六日休)-收貨:10:00-19:00,0986-037826,,月結30天,20260319,,
B5255,清新樂芽(停用改B5586),55106891,苗實,,C級客戶,烘焙業,西式麵包店,台北市信義區,台北市信義區和平東路三段341巷5號1樓(週六日休)-收貨:09:00-18:00,02-27333996,,貨到收款,20220823,,
B5256,Gato Bonheur Bar,53538156,苗實,,C級客戶,餐廳,餐酒館/酒吧,台北市松山區,台北市松山區復興南路一段47巷7號1樓(週日一休)-收貨: 17:00後,02-87716618,,貨到收款,20220512,,
B5257,(停用)樂子-瑞安,90546328,蕭育豐,,B級客戶,餐廳,西式餐廳,台北市大安區,台北市大安區瑞安街145號,02-27001680,0935-627195,月結30天,20230928,,
B5258,停用Fika Fika-信義(貨到匯款),43941565,苗實,,C級客戶,飲品咖啡店,咖啡店,台北市信義區,台北市信義區松高路11號1F (信義誠品)-收貨:9:00~17:00,0978-133892,02-27887998#10,貨到收款,20230905,20251230,
B5259,半場咖啡,38576264,苗實,林宛瑜,C級客戶,飲品咖啡店,咖啡店,台北市文山區,台北市文山區指南路三段5號1樓(週一休)-收貨 : 14:00~21:00,0928-178358,02-29366684,貨到收款,20260309,,
B5260,十六餐飲,83500889,苗實,,C級客戶,日式餐飲,和食餐廳,台北市大安區,台北市大安區安和路二段69巷16號- 請中午前到貨,0955-611027,,貨到收款,20220511,,
B5261,SENS,55847754,陳柏皓,張瑋玲,PF級客戶,餐廳,西式餐廳,台北市松山區,台北市松山區民生東路三段127巷12號(週日一休)-收貨 : 13:00~16:00//週六上午10:00前配送,0973-887560,02-27186388,月結30天,20260317,,
B5262,心潮飯店,85121878,蔡宛庭,張瑋玲,S級客戶,餐廳,中式餐廳,台北市信義區,台北市信義區忠孝東路五段68號2樓(微風信義)-收貨:10:30-21:30,0976-366902,02-27239976,月結40天,20260303,,
B5263,菓菓菈烘焙坊 Cocora sweets,,苗實,,C級客戶,烘焙業,個人工作室,台北市南港區,台北市南港區玉成街140巷4號3樓-收貨:12:00-18:00,0963-367586,,貨到收款,20230912,,
B5264,雲記便當,91189489,苗實,,C級客戶,餐廳,中式餐廳,台北市中山區,台北市中山區長安東路一段11巷2號-收貨:8:00-1330(六日店休),02-25311963,,貨到收款,20220915,,
B5265,日初烘焙,91015306,苗實,,C級客戶,烘焙業,西式麵包店,台北市大安區,台北市大安區信義路三段134巷86弄5號-收貨:09:00-19:00,0928-316847,,貨到收款,20221021,,
B5266,小浪山山,,苗實,,C級客戶,烘焙業,西式甜點店,台北市內湖區,台北市內湖區大湖山莊街121號1樓,0921-052330,,貨到收款,20240503,,
B5267,COFFEE SODA,88218658,苗實,朱佩珊,C級客戶,烘焙業,個人工作室,台北市大安區,台北市大安區信義路二段86巷25號一樓-收貨:13:00-18:00,02-23960758,0986-053725,貨到收款,20260128,,
B5268,上吉燒肉,50895453,苗實,,C級客戶,日式餐飲,燒肉店,台北市大安區,台北市大安區延吉街131巷41號1樓-收貨:14:30-21:00,0909-241664(呂軒旭),,貨到收款,20220322,,
B5269,and.room (折田),42636882,陳柏皓,,PF級客戶,烘焙業,西式麵包店,台北市中山區,台北市中山區中山北路1段140巷18號4樓-收貨 :10:00-19:30,02-25110589,,月結30天,20220511,,
B5270,草山金工,42647635,苗實,,C級客戶,飲品咖啡店,咖啡店,台北市士林區,台北市士林區中山北路五段522號1樓(週三休)-收貨 :12:00-20:00,0934-321635,02-28825797,貨到收款,,,
B5271,林郁芸,77017752,苗實,,C級客戶,烘焙業,個人工作室,台北市北投區,台北市北投區中央南路二段28號6樓之9-收貨 :白天皆可,0935-508869,,貨到收款,20220315,,
B5272,欣葉日本料理-新中山店,88268328,李丞凱,張瑋玲,P級客戶,餐廳,Buffet自助餐,台北市大同區,台北市大同區南京西路62號4樓-收貨 : 11:30-17:30,02-25592258,02-26528999,月結30天,20260318,,
B5273,技固帕串燒酒家,38472916,苗實,,C級客戶,日式餐飲,居酒屋/燒烤店,台北市大安區,台北市大安區市民大道四段66號-收貨: 16:00~19:00,0916-300002,02-27419335,貨到收款,20220328,,
B5274,和牛研究室,90157235,苗實,,F級客戶,餐廳,西式餐廳,台北市中山區,台北市中山區樂群三路303號1樓-收貨 :11:00 - 22:00(送貨到停車場)地下1樓換證送貨),0965-288581,,月結30天,20240502,,
B5275,(停用)三百金麵專門,90554889,苗實,,F級客戶,日式餐飲,拉麵店,台北市大同區,台北市大同區華陰街81號(一二休)-收貨: 11點前、14:00-16:00,0911-350601,02-25585515,月結30天,20220926,,
B5276,椿珈啡,90616230,苗實,,C級客戶,飲品咖啡店,咖啡店,台北市中山區,台北市中山區民權東路一段70巷10號(週二店休)-營業一&三~日:12:00-20:00下午到貨,0928-589295,02-25365818,貨到收款,20231225,,
B5277,NoBody about Cafe小人物,,苗實,,C級客戶,飲品咖啡店,咖啡店,台北市大安區,台北市大安區復興南路二段368號(週六休)-收貨 :10：00~19：00,0919-050933,0968-976860,貨到收款,20220512,,
B5278,Pizza3 披薩三次方,88138661,苗實,,C級客戶,餐廳,披薩店,台北市信義區,台北市信義區林口街16號-收貨 :12:00-17:00,0933-722102,,貨到收款,20220406,,
B5279,宮武-誠品南西店(信本),42823908,深川真紀,,S級客戶,日式餐飲,烏龍麵店,台北市中山區,台北市中山區南京西路14號B1F -收貨 :12:00-17:00,0916-443401,02-25212559,月結30天,20240403,,
B5280,父母,82823502,陳采立,林宛瑜,P級客戶,餐廳,早午餐,台北市中山區,台北市中山區興安街103號- 08:30-22:00,02-25185660,,月結30天,20260318,,
B5281,INITA,90610931,陳柏皓,張瑋玲,PF級客戶,餐廳,西式餐廳,台北市松山區,台北市松山區八德路三段12巷52弄1號1樓-收貨:10:30以後收貨(週日週一公休),02-25770886,,貨到收款,20251219,,
B5282,歐嬤德式烘培(停用),21710506,苗實,,C級客戶,烘焙業,西式麵包店,台北市大安區,台北市大安區辛亥路一段44-46號-收貨:8:00-20:30*//匯款,908022605,02-23672552,貨到收款,20220609,,
B5283,立志すし,88222273,苗實,朱佩珊,C級客戶,日式餐飲,壽司店,台北市大安區,台北市大安區基隆路三段20-1號1樓-收貨:10:00~18:00*週一店休,02-27361027,0925-056290,貨到收款,20260210,,
B5284,倉鼠甜點工作室,,苗實,林吟姿,C級客戶,烘焙業,西式甜點店,台北市中正區,10052臺北市中正區杭州南路一段14之7號1樓*收貨:09:30,0975-638737,02-23213770,貨到收款,20251211,,
B5285,ä couple(晨時工坊),42492457,苗實,,C級客戶,飲品咖啡店,咖啡店,台北市大安區,台北市大安區四維路132號1樓-收貨:08:00-15:00*六日店休,0965-625388,,貨到收款,20230427,,
B5286,誠品生活-松菸cafe,27952966,苗實,,C級客戶,飲品咖啡店,咖啡店,台北市信義區,台北市信義區菸廠路88號1樓-收貨: 10:00-17:00,02-66262817,02-6636-5888 #1799,月結30天,,,
B5287,日煦,88210163,苗實,,C級客戶,烘焙業,西式麵包店,台北市中正區,台北市中正區金山南路一段89巷2號-收貨:08:00-18:00 (一二六日休),0912-260080,0968-930120,貨到收款,20230531,,
B5288,燒肉Like-松江南京店      日香,88232455,蕭育豐,朱佩珊,A級客戶,日式餐飲,燒肉店,台北市中山區,台北市中山區南京東路二段95號1樓-收貨 : 11:00-17:00,02-25620788,,月結30天,20260318,,
B5289,14口甜點,42714084,苗實,,C級客戶,烘焙業,西式甜點店,台北市大安區,台北市大安區建國南路一段175巷11號1F(週六日休)-收貨 : 13:00~17:00,0928-071927,,貨到收款,20221115,,
B5290,營火CampfireCafe,88160945,苗實,,C級客戶,飲品咖啡店,咖啡店,台北市信義區,台北市信義區光復南路419巷76號(週一二休)-收貨 : 11:00後,0935-939788,02-87864179,貨到收款,,,
B5291,Apéro,,苗實,,C級客戶,烘焙業,個人工作室,台北市大安區,台北市大安區新生南路一段145號8樓之2-收貨 : 10：00-16：00,0933-157867,02-27003866,貨到收款,20220415,,
B5292,(停用)VK,88219571,苗實,,C級客戶,烘焙業,西式甜點店,台北市萬華區,台北市萬華區內江街44號-收貨 : 12:00-22:00,0938-540598,02-23318848,貨到收款,20230412,,
B5293,立秋,90504896,陳柏皓,朱佩珊,PF級客戶,餐廳,餐酒館/酒吧,台北市大安區,台北市大安區辛亥路二段171巷9號1樓(週日一休)-收貨 : 10:30~16:30(14:00後到貨),0918-950622,02-27329060,月結30天,20260316,,
B5294,麵屋 錦(微風北車),24963504,苗實,林吟姿,C級客戶,日式餐飲,拉麵店,台北市中正區,台北市中正區北平西路3號2樓-收貨 :11:30-14:00，17:30-20:00,02-89693133,03-2870102,月結30天,20250625,,
B5295,緣大福-無統編,,苗實,朱佩珊,C級客戶,烘焙業,西式甜點店,台北市大安區,台北市大安區光復南路308巷38號7樓之1 **營業:13:00-18:00*(10-13點這個時段可以收貨*下午時段不一定),0965-022956,,貨到收款,20260310,,
B5296,Sonney's Bagel(德司果),90668686,陳柏皓,朱佩珊,P級客戶,烘焙業,西式麵包店,台北市士林區,台北市士林區克強路17號1樓-收貨 :07:30-19:30,02-28380718吳小姐,0987-252581吳小姐,月結30天,20250611,,
B5297,HAMA壽司(中山民權店),54181892,深川真紀,,P級客戶,日式餐飲,壽司店,台北市中山區,台北市中山區中山北路二段185號1樓(週六日休)-收貨:早上8:00-下午17:00,02-25855957店,02-2542-2828 #18,月結30天,20220919,,
B5298,瑞光食堂,,苗實,張沛宸,C級客戶,日式餐飲,和食餐廳,台北市內湖區,台北市內湖區陽光街321巷1號-收貨 :11:00-20:00到貨電話通知大門取貨,0988-270724,,貨到收款,20250605,,
B5299,誠品生活時光-J101內湖店,27952966,苗實,,C級客戶,飲品咖啡店,咖啡店,台北市內湖區,114063台北市內湖區瑞光路337號C棟1樓-送貨:09:00-11:30、14:00-17:00(請勿於餐期送貨),02-27970989張宜平,02-87898880#863,月結30天,20220919,,
B5300,The Antipodean-樂群,90579538,鄭捷,張瑋玲,B級客戶,飲品咖啡店,咖啡店,台北市松山區,台北市松山區民生東路五段27巷10號1樓-收貨08:00~17:00●按下黑色門鈴通知進行簽收,02-27565727,0919-177519 Andy,月結30天,20260320,,
B5301,好南德甜點,88214055,苗實,,C級客戶,烘焙業,個人工作室,台北市士林區,台北市士林區大東路15-43號2樓-收貨:09:00-18:00(六日店休),0975-129729,,貨到收款,,,
B5302,光焙若-春大直,82840066,蕭育豐,,A級客戶,餐廳,西式餐廳,台北市中山區,台北市中山區樂群三路303號1F(春大直商場中)-收貨 : 11:00-18:00,0927-956236林's,02-85022613,貨到收款,20220414,,
B5303,ZEA,90502139,陳柏皓,朱佩珊,PF級客戶,餐廳,西式餐廳,台北市大安區,台北市大安區仁愛路四段300巷20弄5號1樓(週一二休)-收貨週三-週日 13:30-17:30,0953-537990,,月結30天,20260318,,
B5304,誠品生活時光-松德路辦公室,27952966,苗實,,C級客戶,飲品咖啡店,咖啡店,台北市信義區,台北市信義區松德路196號B1F(誠品辦公室)週六日休- 收貨 :09:00-12:30、13:30-18:00,02-87898880#863,0911-625019賴'r,月結30天,20220414,,
B5305,WAN,,苗實,,C級客戶,烘焙業,西式甜點店,台北市大安區,台北市大安區泰順街16巷39號-收貨 : 9:00-19:00,0916-186281,,貨到收款,20230630,,
B5306,DODIDDONE COFFEE,24742427,苗實,,C級客戶,飲品咖啡店,咖啡店,台北市松山區,台北市松山區民權東路三段103巷3號(週六)-收貨: 8:00~18:00,0910-945749,02-27160320,貨到收款,20220415,,
B5307,The Slice Shop,90623921,潘彥甫,朱佩珊,P級客戶,餐廳,西式餐廳,台北市大安區,台北市大安區安和路二段69巷22號一樓(一點半後 可收貨)週一店休廚房可收,0916-482226,0938280323Eric,月結30天,20260323,,
B5308,套房裡的甜點師,98906177,苗實,張沛宸,C級客戶,烘焙業,西式甜點店,台北市內湖區,台北市內湖區成功路四段200巷1號1樓(週一二休)-收貨:13:00-19:00,0929-125673,,貨到收款,20221018,,
B5309,游淑慎,,苗實,,C級客戶,烘焙業,個人工作室,台北市南港區,台北市南港區玉成街49號1樓(週六日休)-收貨 : 12:00-18:00,0935-889326,,貨到收款,20220419,,
B5310,Tzubi coffee(內湖店),42489875,陳柏皓,張沛宸,PF級客戶,飲品咖啡店,咖啡店,台北市內湖區,台北市內湖區新湖二路259巷7號-收貨:10:00-18:00,0972-876686,02-87921090,月結30天,20250319,20250331,
B5311,搖滾披薩-中山店,54760822,林文哲,張瑋玲,S級客戶,餐廳,披薩店,台北市中山區,台北市中山區中山北路一段140巷12號-收貨: 11:30後 (粉寄貨要套外袋),02-25219990,0910-080714,月結30天(不秀金額),20260317,,
B5312,戰神mares,24874860,苗實,,C級客戶,製造商,加工食品製造廠,台北市信義區,台北市信義區虎林街164巷12號-收貨:0900-1800(六日休),02-87861109,,貨到收款,,,
B5313,達麒企業有限公司(貨到匯款),7726801,苗實,,C級客戶,通路與零售商,電商平台,台北市萬華區,台北市萬華區和平西路三段85號4樓之一-出貨前電話聯繫,0955-740907,,貨到收款,20241127,,
B5314,楽坡 BONBOX 舒浮弁當製造,83409931,苗實,,C級客戶,製造商,鮮食廠,台北市松山區,台北市松山區八德路三段74巷2號-收貨:11:00-19:30,0972-151208,,貨到收款,,,
B5315,狄克魯咖啡,55723368,苗實,張瑋玲,C級客戶,飲品咖啡店,咖啡店,台北市松山區,台北市松山區八德路三段81號12樓之3,0932-305439,02-25770018,貨到收款,20260302,,
B5316,(停用)可可華克,90615056,苗實,,C級客戶,烘焙業,西式甜點店,台北市中山區,台北市中山區長春路258巷26號之3(週日一休)-收貨 : 9:00~19:00,0921-992270,,貨到收款,20230608,,
B5317,樂軒和牛仁愛店,90268035,陳柏皓,朱佩珊,PF級客戶,日式餐飲,居酒屋/燒烤店,台北市大安區,台北市大安區仁愛路四段91巷9號- 收貨 : 10:30-21:30,0909-130822,02-27312233,貨到收款,20250620,,
B5318,平島蜂蜜蛋糕-信義A11,28440535,陳采立,張瑋玲,P級客戶,烘焙業,西式甜點店,台北市信義區,台北市信義區松壽路11號6樓(新光三越百貨A11館 平島櫃位)收貨:08:00-21:00*均需套外袋,0987-907936,,月結30天,20251031,,
B5319,LSD Café Salon,83513651,苗實,,C級客戶,飲品咖啡店,咖啡店,台北市大安區,台北市大安區忠孝東路四段170巷17弄14號-收貨:12:00-20:00*週一店休,02-87710072,0958-398205,貨到收款,20220916,,
B5320,呷滴商行-信義,42430122,苗實,張瑋玲,C級客戶,烘焙業,西式甜點店,台北市信義區,台北市信義區吳興街170巷1弄3號-收貨:09:00-18:00*週一店休,0955-010401,,月結30天,20260306,,
B5321,穀寶盛,,苗實,,F級客戶,烘焙業,西式麵包店,台北市文山區,台北市文山區羅斯福路六段七十七號七樓到-收貨:09:00-18:00(到貨前電聯),0975-297257,,貨到收款,20220422,,
B5322,VM時尚甜點,82649639,苗實,,C級客戶,烘焙業,個人工作室,台北市南港區,台北市南港區東新街205號2樓-收貨:,0936-398173,,貨到收款,20220422,,
B5323,(停用)小米包自宅烘焙,,苗實,,C級客戶,烘焙業,個人工作室,台北市士林區,台北市士林區克強路10巷19弄6號(六日休),0935-737553,02-28367690,貨到收款,20220825,,
B5324,可可雞蛋糕,,苗實,林吟姿,C級客戶,烘焙業,個人工作室,台北市中正區,台北市中正區開封街一段2號之54號  收貨:11:30後*到貨前電聯,0907-522649,,貨到收款,20250918,,
B5325,Barmood Taipei,55251249,陳柏皓,朱佩珊,PF級客戶,餐廳,餐酒館/酒吧,台北市大安區,台北市大安區敦化南路一段160巷53號-收貨W1~4 *10:00後 /W5六日* 16:00後,0979-705180,0905-773621,貨到收款,20250508,,
B5326,Birdy yakitori,90156094,陳柏皓,林宛瑜,PF級客戶,日式餐飲,居酒屋/燒烤店,台北市中山區,台北市中山區樂群三路303號二樓-收貨:10:00-21:00,0983-122360,,月結30天,20260319,,
B5327,庇護所,85130623,苗實,,C級客戶,餐廳,餐酒館/酒吧,台北市大安區,台北市大安區延吉街137巷26號-收貨:11:00-0:00,02-27310801,0905-688330,貨到收款,20220504,,
B5328,(停用)Mimi's Cafe米米咖啡,42500436,苗實,,C級客戶,飲品咖啡店,咖啡店,台北市中正區,台北市中正區羅斯福路三段284巷15號-收貨:12:00-22:00,02-23652366,0972-242298,貨到收款,20240403,,
B5329,After Rain,38557055,苗實,張瑋玲,C級客戶,飲品咖啡店,咖啡店,台北市松山區,台北市松山區民權東路三段160巷19弄16號一樓-收貨:12:00-18:00,02-27133634,0916-705937,貨到收款,20260316,,
B5330,Bonnie Bakery 手作烘焙坊,,苗實,,C級客戶,烘焙業,個人工作室,台北市萬華區,台北市萬華區環河南路二段237 號2樓-收貨:下午4點以前,0955-397858,,貨到收款,20220518,,
B5331,Sunriental Cafe,90615197,苗實,,F級客戶,餐廳,早午餐,台北市內湖區,台北市內湖區內湖路一段101號-收貨:08:00-20:00,02-26596001,0911-706630主廚李小姐,貨到收款,20240905,,
B5332,鮨佐樂(匯款後出貨),90624409,苗實,朱佩珊,C級客戶,日式餐飲,壽司店,台北市大安區,台北市大安區大安路一段192號-收貨:10:00-11:30* 15:00-15:30,02-27048200,0936-616005 邱泓傑,貨到收款,20260303,,
B5333,永信國際食品有限公司,83167011,苗實,,C級客戶,製造商,代工廠,台北市大安區,106台北市大安區忠孝東路四段177號13樓之3*(白天(基本上都是自取)),0916-322282,,貨到收款,20221125,,
B5334,Radici,90244203,苗實,,F級客戶,餐廳,西式餐廳,台北市大同區,台北市大同區迪化街一段197號-收貨: 10:00～17:00*(一二店休),0975-503686,02-25521367#33,貨到收款,20221028,,
B5335,如瑟公司,83303085,苗實,,C級客戶,餐廳,西式餐廳,台北市文山區,台北市文山區光輝路20巷7號4樓 (無電梯)**新址-收貨:08:00-1800 (六日店休),02-77519131#1349,0919-359486,貨到收款,20220511,,
B5336,極菓子,91196405,苗實,,C級客戶,烘焙業,西式甜點店,台北市信義區,台北市信義區光復南路417巷16號-收貨: 12:00-17:00,0937-478614,,貨到收款,20240417,,
B5337,極滋味超市,54836371,苗實,,C級客戶,通路與零售商,超市,台北市大安區,台北市大安區安和路一段112巷16號(極滋味超市) 週日休 - 收貨: 13:00後,0921-855-833,02-29756171,貨到收款,20220513,,
B5338,春大直,82876535,苗實,,C級客戶,業內合作夥伴/經銷商,合作夥伴,台北市中山區,台北市中山區樂群三路303號,,,貨到收款,,,
B5339,誠聚行,30968203,苗實,,C級客戶,業外公司,一般公司行號,台北市大安區,台北市大安區信義路四段235號5樓之2(週六日休)-收貨: 12:00~18:00,0922-802802,02-27016644,貨到收款,20230711,,
B5340,Pokeworks,90607231,苗實,朱佩珊,C級客戶,餐廳,西式餐廳,台北市大安區,台北市大安區復興南路一段107巷45號(週日休)-收貨 :10:00-18:00,02-27753576,,貨到收款,20251113,,
B5341,芋芋甜點舖,88164604,苗實,,C級客戶,烘焙業,西式甜點店,台北市大安區,台北市大安區新生南路三段76巷5號(週二休)-收貨 : 10:00~20:00,0930-661126,02-23660588,貨到收款,20220630,,
B5342,(停用)鷹流-涼風庵,83458236,苗實,,F級客戶,日式餐飲,拉麵店,台北市信義區,台北市信義區忠孝東路五段183號-收貨: 11:00-17:00,02-27657711,,貨到收款,20220720,,
